temperature,pressure,q,enth_mol,entr_mol,vol_mol
553.5228,2119162.0,1.0,53722.05123676306,114.93429249574656,0.0017862643205589623
553.8577,92839.0,1.0,56475.79924212202,144.60107570890185,0.04926463759035556
525.0543,2258551.0,1.0,48658.63301665584,105.12148509087473,0.0014629962844525891
545.1466,1823107.0,1.0,52819.36232296758,114.33209593987884,0.0020919459303811237
516.2947,1841810.0,1.0,48095.13289968099,105.35864258203937,0.0018598680371888696
463.2658,909980.0,1.0,42029.65179920768,97.84987727087395,0.0036575750173109844
502.4014,1346345.0,1.0,46897.95832776315,105.15041221039161,0.0026211809416023624
359.9954,58872.0,1.0,31580.121082453676,93.7857147728415,0.049914796119537835
541.7791,1851300.0,1.0,52224.51028172919,113.13061433571576,0.002030293900675348
546.1762,1873011.0,1.0,52906.94108745076,114.30409275639185,0.002030865131574919
440.5561,552143.0,1.0,39739.8146897785,96.46385290510143,0.006012489290837949
490.4179,1766578.0,1.0,44049.44519536847,97.58956776806298,0.0017485934963630727
364.852,84864.0,1.0,32001.15405164259,91.972645883784,0.034840936601203985
552.6678,1051607.0,1.0,55132.33826284339,122.59395985035515,0.004011441547614436
508.1733,1409332.0,1.0,47666.11597841225,106.34970390530086,0.002529395579170486
516.7477,2599232.0,1.0,46267.02315540707,99.68770645452764,0.0011180195225387955
517.978,772411.0,1.0,50220.361537438934,115.78208868755087,0.00515969644814128
480.4989,221714.0,1.0,45723.97552483837,116.66306516062991,0.017543057803710578
556.1092,3904028.0,1.0,50219.829228213115,104.89869081772572,0.0007121645838405036
558.6989,180844.0,1.0,57114.26803775612,140.2580039243601,0.02535437498208839
555.9407,4493087.0,1.0,47047.093372631556,98.5654076607901,0.00045803532254067063
423.7742,258280.0,1.0,38272.98645809544,98.95445185884711,0.012991146337782882
510.1357,1342144.0,1.0,48094.795200576096,107.5365657975976,0.0027008061896901317
505.0277,587248.0,1.0,48599.879326352166,114.73849663275365,0.006713729119682122
536.6914,642926.0,1.0,53209.53185078872,122.87946309286887,0.006564420444804333
496.6659,1170340.0,1.0,46368.775956901765,105.0852886280655,0.0030413987038674347
540.9752,1271630.0,1.0,52996.94523108961,117.25849764608688,0.0031516806190681475
504.4989,569367.0,1.0,48550.92879922816,114.88314420440659,0.006930132325967051
525.5863,160137.0,1.0,52186.95548036844,132.1661848218595,0.02690578987751439
553.3164,909157.0,1.0,55417.45030805641,124.22804824616473,0.004706245062125504
411.6191,277157.0,1.0,36742.50657377661,94.73434791208851,0.011644667748066138
491.6057,847587.0,1.0,46221.99143104265,107.15457315584625,0.004340743711101758
511.4008,448467.0,1.0,49730.93901133874,119.08913338316529,0.009063213852548796
523.6743,1917479.0,1.0,49147.197320874555,107.11436245068516,0.0018176248063858
558.2655,3125362.0,1.0,52701.151744767034,110.58852158276504,0.0010725247292720948
534.8545,558956.0,1.0,53043.182856021565,123.67361664146345,0.007578668842402088
478.0156,310295.0,1.0,45238.87036154787,112.94503653509243,0.012321890440415652
555.499,1865004.0,1.0,54446.2141959818,117.12861870934253,0.0021030028762903325
472.0895,624355.0,1.0,43861.81972287317,104.56571632129415,0.00576461553892543
558.4552,4032365.0,1.0,50325.02914278851,104.92723644540787,0.0006797226161243991
508.0742,2428698.0,1.0,45172.34254425866,97.93374978208703,0.0011811869531515304
358.5255,90519.0,1.0,31327.507797648486,89.58824383034815,0.03198529630906652
388.8084,199606.0,1.0,34273.97958156178,91.15060915304532,0.015396894265170444
484.9364,535368.0,1.0,45817.294893854276,109.83774337110995,0.007049665644063671
479.5498,258779.0,1.0,45534.00616701709,115.01893314102783,0.014927521663444741
488.4649,716530.0,1.0,46002.74728904646,107.9748365687609,0.005185504329109628
462.8351,1191945.0,1.0,41275.17964352965,94.3365901031098,0.0026188798723994116
531.9381,2189936.0,1.0,49976.31582710995,107.81208841159874,0.0015756941865843503
512.8665,1457187.0,1.0,48305.16002347828,107.367256271148,0.0024680991687785294
557.2992,395287.0,1.0,56656.14108247775,133.06402921999623,0.011384341264696883
495.1332,1726239.0,1.0,44922.91574795861,99.50941079659614,0.001849115700731937
510.9982,2522936.0,1.0,45414.198828293454,98.1948755046291,0.001128580835989436
513.4264,1836102.0,1.0,47640.112598380074,104.49540621378812,0.0018454219773950207
550.5744,86762.0,1.0,55986.14213056232,144.27349404502075,0.052419647893654345
514.4359,174987.0,1.0,50551.31684694721,128.29464126797967,0.024039957622852322
490.8536,1843603.0,1.0,43908.43518729875,97.03573912717452,0.0016468343394978183
454.3209,703855.0,1.0,41246.43495008661,98.01729663476029,0.0047799205280527925
442.147,15986.0,1.0,41056.22585362367,128.17887270140525,0.22940007622139813
498.0868,1302811.0,1.0,46324.100921175,104.23421622085614,0.0026872922588187962
500.5186,754611.0,1.0,47677.7663613789,110.96773833656282,0.005060530563408955
449.7967,884644.0,1.0,40190.10997684479,94.02185328787795,0.003601885009950958
524.3219,351407.0,1.0,51751.9145282732,124.94391103937755,0.012015262073435708
479.4825,1233725.0,1.0,43658.567064345865,99.16025416266064,0.0026837637270116263
471.7436,1147437.0,1.0,42706.897581391044,97.66101349946634,0.0028504001546629638
513.9449,2594096.0,1.0,45743.72219689042,98.68330560457143,0.0010981368406565572
496.6067,1510041.0,1.0,45661.96969039829,101.88434306310265,0.0022231037369989538
406.6457,340191.0,1.0,35977.61933458747,91.27186189590844,0.009201694877426355
542.0699,3403040.0,1.0,48780.93031421258,102.97842886043924,0.0008284306407256923
414.8814,191524.0,1.0,37343.91143382266,99.1194422382798,0.017333564796925327
466.5167,1115121.0,1.0,42014.776831285,96.38351238946629,0.002893600656859992
557.9515,1667343.0,1.0,55135.51630075471,119.16747484834313,0.0024189426879039195
492.8709,339613.0,1.0,47250.16378197509,116.36599151358233,0.0116134521044738
490.3176,1096514.0,1.0,45564.84831623804,103.92409227265269,0.0032169657761822864
558.308,3274569.0,1.0,52384.59685050168,109.74499274229004,0.0009977077720630982
508.0061,271254.0,1.0,49495.96462872259,122.66302014866568,0.01515270475660202
538.4883,2306713.0,1.0,50855.09177778279,109.11748886726552,0.0015100102929395563
542.2156,236109.0,1.0,54554.04152195121,133.42426735082265,0.018736136216784202
511.5088,1224324.0,1.0,48516.451653952936,109.02110498710715,0.0030239034586654243
487.4332,1544513.0,1.0,44142.624741467196,98.64561694528871,0.0020760741970475747
470.5369,921875.0,1.0,43040.42618626613,99.9211106708949,0.0036931722259793826
560.283,4566147.0,1.0,48339.95466184031,100.82010284594159,0.000489797659609262
