temperature,pressure,c1_x,c1_liq,c1_vap,Q
313.0619062,13903.15043,0.1,0.050043344,0.120631205,0.707723045
345.4498124,38641.94901,0.15,0.050053711,0.157441028,0.930708499
304.9649297,15949.7813,0.1,0.050061658,0.11208081,0.805208399
296.8679531,8405.189518,0.1,0.050095616,0.157558216,0.464388388
317.1103945,14892.27462,0.1,0.050310456,0.115893188,0.757662006
296.8679531,10483.11474,0.1,0.050328277,0.138417245,0.563881314
304.9649297,11780.4943,0.1,0.050334305,0.131431988,0.612418175
325.207371,19291.54019,0.1,0.050347213,0.102527815,0.951556416
317.1103945,18271.64039,0.1,0.050389659,0.105317194,0.903196196
300.9164414,9327.54386,0.1,0.050417567,0.146475569,0.516171817
304.9649297,12986.11293,0.1,0.050432934,0.125362882,0.661512084
321.1588828,17151.20952,0.1,0.05049672,0.108388894,0.855094512
300.9164414,8532.293668,0.1,0.050605863,0.155796344,0.469568503
321.1588828,14018.92314,0.1,0.050622446,0.12008004,0.710902173
321.1588828,16010.30386,0.1,0.050667689,0.111766339,0.807420642
313.0619062,10667.57757,0.1,0.050867151,0.137324605,0.568289337
309.0134179,11903.02642,0.1,0.050886425,0.130561443,0.616423772
309.0134179,15019.62169,0.1,0.050902132,0.115475942,0.76033717
313.0619062,9517.681643,0.1,0.050942352,0.145114456,0.520936093
313.0619062,19302.78839,0.1,0.050997368,0.102463038,0.952142123
317.1103945,13097.99632,0.1,0.050997793,0.12467668,0.665078003
329.2558593,18309.50278,0.1,0.051024174,0.105180727,0.90433795
292.8194648,8657.281486,0.1,0.051115375,0.154109881,0.474633323
309.0134179,17222.62728,0.1,0.051116101,0.108172801,0.856760016
329.2558593,38720.63654,0.15,0.051119356,0.157203856,0.932093228
313.0619062,14129.50686,0.1,0.051199868,0.119547465,0.713999235
321.1588828,16120.73854,0.1,0.051272317,0.111461526,0.809575067
296.8679531,8044.387913,0.1,0.0513905,0.164526234,0.429656469
296.8679531,10843.45144,0.1,0.051404509,0.136274102,0.572590125
304.9649297,12074.60618,0.1,0.051436883,0.129722879,0.620329554
313.0619062,9705.304496,0.1,0.051465881,0.14380829,0.52558862
317.1103945,15123.14436,0.1,0.05149227,0.115072001,0.7629433
321.1588828,13207.23982,0.1,0.051560956,0.124014424,0.668553834
304.9649297,8795.169924,0.1,0.051624012,0.152494454,0.479585365
325.207371,19327.65382,0.1,0.051647021,0.102399976,0.952712582
329.2558593,18397.96178,0.1,0.051657865,0.105048038,0.905450051
341.4013242,36345.64985,0.15,0.051658538,0.165283546,0.865491352
321.1588828,17291.4136,0.1,0.051734397,0.107962947,0.858382494
313.0619062,14244.75451,0.1,0.051775665,0.119032496,0.717017653
321.1588828,16201.68493,0.1,0.051875651,0.111165873,0.811674292
292.8194648,8147.475559,0.1,0.051882847,0.162536023,0.434846559
296.8679531,11017.21515,0.1,0.05194031,0.135263392,0.576787238
317.1103945,12236.11294,0.1,0.051985678,0.128914547,0.624139188
317.1103945,9878.451379,0.1,0.051988073,0.142553954,0.530132611
304.9649297,15198.15012,0.1,0.052080955,0.114680672,0.765483409
300.9164414,13321.17609,0.1,0.052122455,0.123374831,0.671943138
309.0134179,8903.811809,0.1,0.052131651,0.150945973,0.484427236
341.4013242,38808.55913,0.15,0.052182261,0.156977607,0.933416825
321.1588828,18413.04622,0.1,0.052290896,0.104918936,0.90653393
317.1103945,19339.61063,0.1,0.05229636,0.102338544,0.953268548
321.1588828,14352.43889,0.1,0.052349901,0.118534205,0.719960716
325.207371,17359.18189,0.1,0.052351745,0.107759015,0.859963961
296.8679531,8224.788715,0.1,0.052374656,0.160631654,0.43992855
300.9164414,11157.59924,0.1,0.052474528,0.134290274,0.580884177
317.1103945,16272.45454,0.1,0.052477807,0.11087891,0.81372082
296.8679531,9999.229892,0.1,0.052508864,0.141348534,0.534571279
313.0619062,12399.49681,0.1,0.052532817,0.12813481,0.62785624
304.9649297,9027.217035,0.1,0.052638184,0.149460614,0.489161613
