temperature,pressure,q,enth_mol,entr_mol,vol_mol
282.9247,744235.0,0.0,-9817.40172539607,-31.110592213463505,8.774950522031314e-05
526.3401,4335255.0,0.0,30647.596811017378,68.72210062936529,0.0001376222618697319
279.8178,662961.0,0.0,-10233.088444456052,-32.56266122232086,8.74335380053904e-05
436.563,3582603.0,0.0,13476.96243101717,33.273246000845695,0.00010864984878624178
328.0837,2884950.0,0.0,-3508.3035497347405,-11.070427719450478,9.253355164647836e-05
422.5025,4051898.0,0.0,11103.719357580943,27.630881645804152,0.00010583528733877042
316.1427,2944076.0,0.0,-5183.495761358924,-16.288192208171683,9.115384534091126e-05
515.0113,327299.0,1.0,50425.90582724032,122.96467170241648,0.012676018277140195
346.0056,3868545.0,0.0,-873.8229426518627,-3.52618357201372,9.457705875072831e-05
520.5388,4652705.0,0.0,29329.180458711126,66.12128131368574,0.00013350754819535626
418.9319,161642.0,1.0,37901.28538740842,101.81892598766999,0.02089135802210792
435.7312,281884.0,1.0,39717.21071931331,101.62252610670663,0.012242838244193498
463.0461,2105370.0,0.0,18161.4289554076,44.05435219406465,0.00011541082142261887
424.9263,795248.0,0.0,11424.387831236212,29.206849606432673,0.00010736660969469259
300.7332,3667442.0,0.0,-7260.395968864415,-23.2341950807578,8.939498502748391e-05
304.4707,354664.0,0.0,-6939.06043454398,-21.189829551919804,9.009494572622056e-05
490.2403,3820199.0,0.0,23249.792623583566,54.303460444330845,0.00012213039822261303
449.3644,908226.0,1.0,40069.058669635684,93.56680824950217,0.003483152766946327
399.6966,2505310.0,0.0,7305.5281070850315,18.782461186843086,0.000102376108354645
464.3821,2210639.0,0.0,18405.93445919547,44.555396350863106,0.00011569870670796354
379.7246,1077836.0,0.0,4082.250103130363,10.880645518607446,9.959058899427013e-05
394.9575,392730.0,0.0,6463.770584499368,17.207539347251387,0.0001021144378549327
310.395,3619610.0,0.0,-5941.719507113127,-18.904384196323736,9.04483929189386e-05
514.4609,4078041.0,0.0,28114.459341213544,63.921140707854995,0.0001315457925945753
472.8418,1622155.0,0.0,19991.592055764737,48.08607961306288,0.0001185302381045288
444.8919,3820328.0,0.0,14925.500708876207,36.500931990701815,0.00011026064076062496
540.0437,4446782.0,0.0,33845.147106952594,74.68815626727955,0.00014825559226236702
499.4306,257628.0,1.0,48297.36381150558,120.70047221842631,0.015682637486295427
451.1668,4314019.0,0.0,16034.723628061964,38.85461228900854,0.0001113878982685225
298.3569,991986.0,0.0,-7735.466516028504,-24.021838434536456,8.936792441188994e-05
278.7225,1791568.0,0.0,-10311.329403680455,-33.19577359493149,8.723967159172236e-05
497.6344,3985486.0,0.0,24690.558880440196,57.17908168404779,0.0001245441069350459
472.311,2398196.0,0.0,19874.5988488301,47.644501362609155,0.00011777235243552534
363.2478,4642581.0,0.0,1723.573640820141,3.5900334598920365,9.666998209773841e-05
443.0047,1054117.0,0.0,14556.517189342852,36.35933295735702,0.00011108004023207871
348.4746,196944.0,0.0,-697.8241542791194,-2.0150737239619096,9.539033828347746e-05
539.7499,1441624.0,1.0,52550.604417416835,115.51173344119394,0.0027197570973539974
412.3102,2375274.0,0.0,9357.572641786932,23.869940119608465,0.00010452711473965531
325.6869,2516479.0,0.0,-3867.9062739335523,-12.066348443824477,9.229344720870048e-05
557.6551,3804852.0,1.0,50884.13438519036,106.2229446840103,0.0007625619709227533
528.922,859666.0,1.0,51735.68938752805,117.85482323354165,0.004718872943723682
437.15,3438844.0,0.0,13574.97551240332,33.533388213250916,0.0001088220485020655
317.2148,1291205.0,0.0,-5125.425115596117,-15.628302352299007,9.144205540096943e-05
498.6326,4393889.0,0.0,24864.700114022482,57.426601663862,0.00012444179028116284
539.3825,1598693.0,1.0,52247.88453212254,114.2061762097059,0.002405942855468397
351.9789,4374561.0,0.0,29.966382517722202,-1.0740659485132134,9.525673278956276e-05
313.363,4060287.0,0.0,-5507.056319182453,-17.63869040748368,9.073478516567225e-05
518.047,3708068.0,0.0,28933.592435783034,65.60299325423487,0.00013421122978320575
415.7775,186220.0,1.0,37464.19349146463,99.63393297326932,0.01789089054606483
308.8326,959313.0,0.0,-6306.231019601255,-19.304206320520624,9.052478107523815e-05
346.0659,1567170.0,0.0,-983.0119521796876,-3.2116889785117095,9.489025942727862e-05
426.285,2555618.0,0.0,11698.322702692314,29.407128960256717,0.00010701655745977824
377.3158,3235789.0,0.0,3803.4913061913558,9.578629708921516,9.883062044776077e-05
471.9822,4551612.0,0.0,19787.04781487555,46.925599259810255,0.00011620196097824099
436.3319,2580298.0,0.0,13416.383603781267,33.384349049243696,0.00010898951632001056
384.3363,4601854.0,0.0,4955.299230936715,12.247305029340625,9.958231056266769e-05
507.4208,4165062.0,0.0,26645.064627679,61.0232353959177,0.0001281758597636004
361.1108,494074.0,0.0,1201.6832819351935,3.2584251648714644,9.703540946486774e-05
281.3035,1321133.0,0.0,-9998.30359992157,-31.93105377754546,8.753879992763363e-05
534.1788,3754545.0,0.0,32651.038018100633,72.65459301370008,0.0001460727579985294
375.1007,778301.0,0.0,3351.355945549354,9.022836679358768,9.89664009132167e-05
517.9032,4890147.0,0.0,28741.062848420057,64.92795996320265,0.00013172578763103439
386.9525,1737083.0,0.0,5243.316937736722,13.737420767563385,0.00010054648087618575
336.0565,1865450.0,0.0,-2422.460512552407,-7.514727214387744,9.360582179098347e-05
378.7578,4092272.0,0.0,4065.20788908103,10.04696781152947,9.887932715887329e-05
488.8934,3244790.0,0.0,23012.931256616695,53.96325511435807,0.00012224610716381006
406.3915,17745.0,1.0,36747.973866137574,117.15876938452872,0.18972822759317506
454.935,4602670.0,0.0,16705.36114863805,40.263696005701526,0.0001120830070342767
494.272,3144834.0,0.0,24074.22860818167,56.147236418573094,0.0001242727492384388
560.1125,4129254.0,1.0,50377.94999019716,104.90618710042368,0.0006558862237514303
309.3206,3443963.0,0.0,-6099.55299155079,-19.362515426593294,9.034643526973583e-05
510.8394,1133701.0,1.0,48571.795644077705,109.68926731612154,0.003299364443805703
423.2852,142209.0,1.0,38472.60574465913,104.21069989608372,0.024109176240560283
425.3308,2639813.0,0.0,11539.156972514844,29.012192278007237,0.0001068073069489759
511.8748,3967537.0,0.0,27584.65667688422,62.916938210050986,0.00013049266205056973
532.0946,3731256.0,0.0,32143.615878752666,71.70917065625717,0.00014417327364210137
305.0454,4010706.0,0.0,-6653.608130855593,-21.33240148425456,8.982912102616076e-05
382.5787,3101893.0,0.0,4615.124407465828,11.74977924654462,9.961604793489277e-05
397.0679,1827433.0,0.0,6856.890394334359,17.830287947766923,0.00010211395819473984
385.8594,3271195.0,0.0,5135.939706748529,13.061305228530884,0.00010006619277201363
363.342,867449.0,0.0,1556.483772757534,4.1377770729598025,9.728157735285652e-05
456.7808,2696192.0,0.0,17021.961771478796,41.429811319667294,0.00011347984458221196
395.7338,707388.0,0.0,6600.236630097047,17.4714271684928,0.00010216549812913367
352.6579,3188413.0,0.0,70.39136916399148,-0.6382048829007338,9.550799823807146e-05
435.5791,4074301.0,0.0,13319.022690514988,32.78876215286352,0.00010827296483712829
341.7021,74560.0,0.0,-1697.2426404151859,-4.87755692599181,9.453579448293779e-05
511.1545,2337110.0,1.0,46022.19055025191,99.82322406525533,0.0012870899977505607
346.6737,4323565.0,0.0,-752.567111060201,-3.3003473407507267,9.460055013729139e-05
377.7171,4245000.0,0.0,3911.215375231605,9.599944881595988,9.870467355262296e-05
401.1488,200071.0,1.0,35694.66253428653,94.72905488088675,0.01593270136790803
297.6855,799087.0,0.0,-7837.402841044137,-24.306055760369617,8.931169619939956e-05
538.7062,79210.0,1.0,54218.85369448412,141.78089127723928,0.056186646088621166
390.5744,1713762.0,0.0,5815.490965607592,15.215251574541618,0.0001011106233250953
334.4355,4010930.0,0.0,-2541.6233617460903,-8.46777448240508,9.315561001528932e-05
388.4471,4344957.0,0.0,5588.593062405042,13.952727074051095,0.00010023343212179863
520.8245,1504779.0,1.0,49464.254211435524,109.38401491481966,0.0024382020450113588
490.2815,2239605.0,0.0,23338.14594747114,54.880083100159496,0.00012382897169546233
282.657,3051060.0,0.0,-9717.995802989899,-31.47406704251933,8.75513963819546e-05
322.4894,2863241.0,0.0,-4300.009841853866,-13.498174631706522,9.188540468513647e-05
379.2265,4718144.0,0.0,4166.105298218185,10.149942080105124,9.883197199660467e-05
559.1505,1603595.0,1.0,55419.58939543892,119.95893851384307,0.002539588779814992
523.3106,4172106.0,0.0,30006.534929039768,67.54318034590379,0.00013617327791554543
360.2118,2571702.0,0.0,1166.2018648774977,2.602369522597373,9.658593829509257e-05
441.423,3365207.0,0.0,14313.123754295062,35.232040628929774,0.00010972440530753563
454.15,3651699.0,0.0,16556.422799011947,40.17081939500861,0.0001123668522289148
377.0643,1062153.0,0.0,3667.945162098206,9.789861348075439,9.920026302310099e-05
327.6729,2008682.0,0.0,-3613.900991042194,-11.145125166807047,9.258285037403195e-05
323.2179,1589800.0,0.0,-4266.891578135196,-13.032736216581624,9.210556170130943e-05
439.3039,527804.0,1.0,39631.35099329739,96.55769249327649,0.006296731618184568
364.6354,4580049.0,0.0,1929.6749438074053,4.172963178601352,9.68628236723218e-05
296.8336,2467620.0,0.0,-7857.1167305177,-24.873030122122003,8.907916393454058e-05
313.1012,419642.0,0.0,-5746.1088913942185,-17.34540182991504,9.10593845586665e-05
518.5564,3081344.0,0.0,29157.88354091562,66.19912336387354,0.0001360931552052962
357.7706,3648459.0,0.0,853.5201126682903,1.4423990211874704,9.610228540572593e-05
529.2261,258654.0,1.0,52594.87854837483,129.02439262012203,0.016632603932618534
433.1549,1749348.0,0.0,12852.243073651161,32.29471314146756,0.00010866421363677399
499.0268,1166512.0,1.0,46730.888243731424,105.83616893903846,0.003076789351833224
433.0473,3803860.0,0.0,12879.414796155928,31.843867224654602,0.00010787879592456936
507.588,2071988.0,1.0,46118.67250147247,100.74032066373525,0.0015173839731625126
343.9349,4774519.0,0.0,-1128.892180804363,-4.5134714320794345,9.4206357038348e-05
517.6119,4122594.0,0.0,28777.64201244562,65.19486094788878,0.0001330679662982405
534.1789,580152.0,1.0,52913.65422173769,123.13682422484374,0.007276581685082436
302.6895,1128368.0,0.0,-7138.726498522384,-22.076810235867004,8.982846008051429e-05
340.7227,1436011.0,0.0,-1769.738255198593,-5.466619486891289,9.423487092371381e-05
376.8187,3446125.0,0.0,3736.1856711888654,9.345032647759327,9.8721726806766e-05
436.5978,2981820.0,0.0,13470.318190241147,33.40770381811895,0.00010888690879202468
350.5286,4830378.0,0.0,-160.62746524392668,-1.740130802628366,9.501280195739341e-05
