temperature,pressure,q,enth_mol,entr_mol,vol_mol
419.5641,877266.0,0.0,6875.929390598656,16.888087845208478,0.00012414920714726445
411.7139,2807964.0,0.0,5436.893135652864,12.853858180616903,0.0001221814800535828
285.272,2069724.0,0.0,-16422.518558359916,-49.87787619458874,0.00010522424129995396
272.7234,1586938.0,0.0,-18355.965696794327,-56.6275105494733,0.00010389715309428475
340.6399,1922563.0,0.0,-7514.264593057396,-21.33136796404139,0.00011183131556247067
290.7047,4062317.0,0.0,-15441.372758752532,-47.20045421049204,0.00010564866372347486
226.4976,3305623.0,0.0,-24889.070154224002,-83.54647022851611,9.90427731678992e-05
250.6774,3793583.0,0.0,-21425.783960732428,-69.22735517353684,0.0001014320735802553
244.0239,2760191.0,0.0,-22458.717026497186,-72.98099869228419,0.00010082293646514354
480.4729,82425.0,1.0,48004.207723052605,122.4864741370582,0.0477503577235823
241.0533,1623119.0,0.0,-22968.54601949123,-74.61092520035308,0.00010059328002435074
379.8062,588716.0,0.0,-695.4047786147037,-1.9720157179172626,0.0001175444750833868
306.8708,3895034.0,0.0,-12922.063023449964,-38.70810305121979,0.00010748607750977759
369.2239,2705083.0,0.0,-2480.820224524954,-7.3979199749724485,0.00011558250537624508
349.4487,3923774.0,0.0,-5873.4427721647435,-17.226975821371205,0.00011269316715959285
580.4523,1280728.0,1.0,63900.79457673007,130.98894079938862,0.0032677008067123173
303.2138,2903419.0,0.0,-13573.227465736347,-40.493894670227036,0.00010716539175446263
185.4352,218295.0,0.0,-30753.73554471857,-110.64271258319236,9.521823278360964e-05
590.2512,3112435.0,1.0,61411.55695353171,121.02733594494207,0.0010009545483345896
517.8615,3498441.0,0.0,28164.475057929583,61.5815995084635,0.0001482931806574345
208.9764,129681.0,0.0,-27555.170584683085,-94.36246490085941,9.74927831974303e-05
566.9971,2514070.0,1.0,57817.264887083904,115.96560232487904,0.0012408676906255174
463.0729,3293059.0,0.0,15873.937738415712,36.581017636803125,0.00013219355559045012
413.4939,2783893.0,0.0,5780.787690724328,13.694469413684805,0.00012249507846547272
264.1153,182777.0,0.0,-19739.37599048995,-61.2402765403629,0.00010308404196382483
377.8885,2582772.0,0.0,-925.0050538634774,-3.194937748842335,0.00011686007010007932
379.4009,3175463.0,0.0,-613.3788568442818,-2.5549385006936793,0.00011696835666433592
371.8041,3578397.0,0.0,-1963.1585508637982,-6.273454437567878,0.00011579402019784833
299.9595,2627665.0,0.0,-14105.779847201886,-42.161909603894465,0.0001068202334752782
232.2691,2985716.0,0.0,-24105.81390520814,-79.99318262618661,9.963114461997178e-05
502.7195,1727650.0,0.0,24678.591189641327,55.258583879770576,0.00014475425977046025
562.9887,1213256.0,1.0,60529.40942622893,125.48028311046662,0.0033144675110589037
512.8943,4038913.0,0.0,26968.968697976594,59.10778776651458,0.00014578369202943606
315.9269,1174418.0,0.0,-11663.52918544538,-33.72152509327012,0.00010884250677469889
205.6774,939371.0,0.0,-27944.43080058494,-96.62006385401428,9.713279699423576e-05
266.0638,1322335.0,0.0,-19366.204628225652,-60.27595155296138,0.00010320567861775395
218.0096,3939518.0,0.0,-26018.42644742554,-88.90958744549039,9.817965042160326e-05
232.7159,2954374.0,0.0,-24045.433457232248,-79.72003908637672,9.967733386908089e-05
479.1502,2543055.0,0.0,19335.753983267234,44.143020225870636,0.00013666137704789263
208.7618,1590846.0,0.0,-27471.880202714896,-94.64539304927905,9.740025863570662e-05
480.1288,3433750.0,0.0,19557.919696440043,44.35274268710657,0.00013632834324481857
314.383,2273932.0,0.0,-11835.09391902675,-34.6451000142102,0.0001085355012400696
481.6953,1021271.0,0.0,19897.804697548694,45.74864209038478,0.00013849825787714987
573.1133,490130.0,1.0,63882.4225609716,138.26643681126833,0.00923520507998479
560.0071,727883.0,1.0,60925.72293659264,129.9716973982211,0.005870248638419901
321.3495,3515669.0,0.0,-10615.832929180335,-31.234611806942503,0.00010922856711396541
247.6285,4108790.0,0.0,-21840.263896548757,-71.01903885667303,0.00010110209423212851
304.7908,2800500.0,0.0,-13331.176251008965,-39.66136591762964,0.00010735713281072243
444.7035,253997.0,1.0,41708.06507960319,99.8108972909317,0.013656211729277992
531.3969,1763120.0,1.0,52514.31083618916,108.33303834470765,0.0017818888615682863
486.0939,2502403.0,0.0,20873.745459750746,47.34135309378758,0.00013863837401429253
517.8148,3999309.0,0.0,28128.032202423707,61.368116761745085,0.00014762600489308115
529.9819,1965644.0,0.0,31271.692955360915,67.95649403771391,0.00015659628632455378
419.2181,3089029.0,0.0,6913.234858196433,16.32427607342787,0.00012341153643848207
450.1757,3854582.0,0.0,13185.987048323585,30.533818364226164,0.0001290972178379107
275.3546,1073696.0,0.0,-17999.671057540298,-55.13245406134469,0.00010422258301827346
