temperature,pressure,enth_mol,entr_mol,vol_mol,q
368.385,3965424.0,2468.0983028364826,5.804956288216681,9.746327881922923e-05,0.0
312.6528,780920.0,-5788.277426250884,-17.58527436297966,9.097264601073255e-05,0.0
479.2176,2089475.0,21190.494489429722,50.487491921482935,0.00012013117527975897,0.0
463.138,2175701.0,18177.791040727767,44.07215823200489,0.00011539070183854251,0.0
432.1219,1902662.0,12677.86103819182,31.853187188171884,0.00010839539820277994,0.0
553.236,940417.0,55365.02393734829,123.87223848160586,0.004536524770627114,1.0
410.3998,4163928.0,9104.57762474375,22.80219961394233,0.00010371450530485565,0.0
328.9707,68181.0,-3533.121633726072,-10.350784451692752,9.295957315226564e-05,0.0
351.0684,3842593.0,-131.46659117307826,-1.3891817495427476,9.521465100914851e-05,0.0
311.1833,3562648.0,-5836.214869808098,-18.548324748697382,9.054068769681139e-05,0.0
384.8838,939005.0,4884.358762008169,13.015055460452464,0.00010039781384951496,0.0
539.879,4472413.0,33793.163689745714,74.58485393388746,0.0001479385887319772,0.0
497.9146,1636113.0,45584.79167804659,101.19277952908021,0.0020132737241182414,1.0
482.1041,1404670.0,43654.23392438976,98.26823802116675,0.002299153753766513,1.0
454.8362,4524288.0,16686.964962817558,40.242569168259074,0.00011209835886132138,0.0
521.5083,2584558.0,47207.55669311088,101.53182332558904,0.0011671084397111525,1.0
403.5078,2735040.0,7930.216153751144,20.279231321902454,0.00010294086658391068,0.0
452.2607,2070223.0,16208.175544246813,39.7951435479125,0.00011272773094702871,0.0
398.9024,4068992.0,7238.252842574058,18.214041510637426,0.00010188279525375197,0.0
395.8506,2421329.0,6684.626050589997,17.24306537993945,0.00010178046397317794,0.0
426.6549,3797661.0,11794.119402248196,29.320587919150295,0.0001066720180149166,0.0
440.8683,1906367.0,14192.509266489418,35.322295905610574,0.00011022220297403583,0.0
391.8634,590150.0,5976.194520629621,15.917076310719654,0.00010156735923833088,0.0
375.6755,498326.0,3427.988093108545,9.300840789299473,9.910364634569135e-05,0.0
376.6457,1239304.0,3610.8328166262054,9.591702003639078,9.910521536497053e-05,0.0
476.8421,3263191.0,20707.97985555903,49.18529713918378,0.0001184350532744466,0.0
494.2186,71913.0,47840.849888927965,130.22787153592805,0.056701584599609035,1.0
552.5694,2013464.0,53733.560334033966,115.30696019192857,0.0018976412988976968,1.0
