temperature,pressure,enth_mol,entr_mol,vol_mol,q,z
550.0997,580080.0,55331.22348698248,127.59722967031793,0.0075324071365034505,1.0,0.9553127962184118
414.2385,134910.0,37398.87047578922,102.07329354662625,0.02485710603837397,1.0,0.9736650287851599
559.0915,1671643.0,55314.539079730464,119.4693793281791,0.002419501441958659,1.0,0.870065312322316
513.4616,260179.0,50294.780440694216,124.56471542036196,0.01600076320549727,1.0,0.9751474589534335
530.5413,1550606.0,50918.92059887914,111.93915753163239,0.002427167984246493,1.0,0.8531932731539265
492.567,1175221.0,45744.28652506934,103.79297336338365,0.0029852799021543755,1.0,0.8566523543502478
478.4442,394113.0,45155.891487079665,110.8690306855725,0.009603312105770503,1.0,0.9514277951565892
551.9713,2433266.0,52924.199266100324,112.56482484234724,0.0014857369596414296,1.0,0.7877353640315337
504.709,2290177.0,44994.808568419285,97.91891534995897,0.001275362127222561,1.0,0.6960282080096589
522.1187,543110.0,51165.84454000181,120.34874369854654,0.007592988728236685,1.0,0.9499409975340456
554.6928,549416.0,56074.082210359215,129.3742453987018,0.008049746296180707,1.0,0.9589507249971645
556.8171,55623.0,56966.54223879522,149.72154360676802,0.08289951346045119,1.0,0.9959995703527361
546.2766,1328840.0,53748.53316688207,118.31525387665233,0.0030412872243766697,1.0,0.889780445851781
439.2422,358195.0,40001.847742489146,100.38707826016844,0.009590659422411999,1.0,0.9406525885470096
479.6745,303957.0,45476.649718531124,113.60677996921073,0.01263877946158344,1.0,0.9632432593746836
423.7132,238547.0,38310.43901248459,99.67339536790965,0.014119710341873858,1.0,0.956077455831175
533.4207,2485171.0,49603.68961865371,106.31052999139703,0.0013279426929437084,1.0,0.7440995991234747
542.9191,502114.0,54333.328217723625,126.92041602100593,0.008627876567730237,1.0,0.9597021292505298
465.2616,620881.0,42923.984124415736,102.60711780870571,0.005687948602695478,1.0,0.9129187949475909
407.6585,32263.0,36861.20359838899,112.49089776859212,0.10437269901016603,1.0,0.9934831029530826
433.019,239561.0,39465.58127330005,102.33626110971352,0.014414215309801038,1.0,0.9591035410192513
495.6157,199408.0,47847.7825344701,121.87539615645635,0.020223790147552302,1.0,0.9786454861495598
466.8729,181332.0,43954.03715066802,114.5563234861508,0.020899495960374343,1.0,0.9762856886278811
560.7416,3070170.0,53271.069537659874,111.7150680669826,0.0011157147035437288,1.0,0.7347136839200132
550.8172,1612153.0,54061.85647653701,117.47388321894277,0.002465008510066944,1.0,0.8677257998318524
375.677,127035.0,33025.88458412795,91.48603679699136,0.02373501298626048,1.0,0.965302838691116
516.4059,129723.0,50895.341468307095,131.41550674520732,0.03270009917100084,1.0,0.9879618685824919
539.119,595525.0,53638.8581306637,124.2814715613243,0.0071561457392196725,1.0,0.9507358304902324
371.1331,119850.0,32557.715813393952,90.69969201286028,0.024869586743953478,1.0,0.965922411458651
456.5236,388454.0,42200.03612759985,104.65981870556577,0.009220349231337077,1.0,0.9436024507551953
553.2487,1635066.0,54420.49547881178,118.02172381509483,0.0024417312558223507,1.0,0.8679167562700025
559.7138,4336860.0,49425.384981806834,102.97660401484303,0.0005750415236833101,1.0,0.535887860468915
555.7667,2982793.0,52539.060672373824,110.58000558213527,0.0011357547088983028,1.0,0.7331291109104241
466.3988,408992.0,43485.32423809728,107.0406238676891,0.008957962836108925,1.0,0.9447827821968102
513.9443,2457842.0,46176.24794073243,99.8302465161243,0.0012066194294518685,1.0,0.694022493889558
553.2751,939781.0,55371.93953228154,123.88995545202143,0.004540259969888157,1.0,0.9275377215348367
485.0766,1548632.0,43760.54517653553,97.8423933547991,0.0020465633140355852,1.0,0.7858296551274604
512.4579,458515.0,49869.87787404966,119.1844921581112,0.008876382838896713,1.0,0.9552052600262598
530.8039,2274241.0,49609.32426738155,106.87843883527039,0.0014884159211469429,1.0,0.7669940791294296
504.6485,594288.0,48534.050508417655,114.51511530513973,0.006622598774788121,1.0,0.9379976354482864
543.7487,459842.0,54511.65554946379,127.95173806352031,0.009471589365392637,1.0,0.9633821379704364
556.8698,587012.0,56365.1383435607,129.37082420783292,0.0075455842601378775,1.0,0.9566465540240721
555.4415,2381550.0,53608.540503538796,113.94248141688708,0.001549221833042866,1.0,0.7989145164807658
542.3867,1234777.0,53271.38007024553,117.98356266370651,0.0032705944540431966,1.0,0.8955122285356865
553.4768,841410.0,55528.1104921506,125.02864635483809,0.005116952352002675,1.0,0.935588652430739
497.4066,1306171.0,46213.689408235514,103.9943031010228,0.0026724955630363545,1.0,0.8440551253628839
