temperature,pressure,mole_frac_benzene,mole_frac_toluene,enth_mol,entr_mol
251.5097,262723.25,0.5,0.5,-17791.79929779721,-51.72948455163414
531.7927,830579.62,0.5,0.5,53803.01981105492,124.68390439444013
548.4696,668956.66,0.5,0.5,56922.847339060885,132.11954639522563
254.9168,718289.38,0.5,0.5,-17294.399412993083,-49.932848237554644
593.9689,115224.74,0.5,0.5,65608.92778010578,161.5700496187357
202.2038,410451.75,0.5,0.5,-24387.95547818598,-80.96453965182612
481.1357,111300.01,0.5,0.5,47019.26428673408,127.24218526242038
268.7493,793045.64,0.5,0.5,-15374.54654414868,-42.6262425021869
547.8368,192862.89,0.5,0.5,57538.385102759676,143.2016334160894
527.6767,554128.14,0.5,0.5,53600.15281163248,127.41040044815533
330.2808,873236.38,0.5,0.5,-6331.459228462316,-12.40704099919204
285.2005,356000.82,0.5,0.5,-13076.27674213346,-34.17609314997025
620.346,506533.28,0.5,0.5,69928.8074999374,156.59360158376217
438.8061,604595.44,0.5,0.5,12273.981077188839,36.144265986864355
325.6552,739187.06,0.5,0.5,-7053.116684997236,-14.56598133319207
193.9884,235475.99,0.5,0.5,-25491.497252304125,-86.45844977905435
589.5472,638802.97,0.5,0.5,64169.97609520073,145.22009624719698
413.5587,232201.65,0.5,0.5,37043.75031496746,99.00578361622001
362.7532,672115.83,0.5,0.5,-1160.8286980704336,2.5788728084455004
479.9684,53449.96,0.5,0.5,46956.70616392719,133.14031390124154
596.0695,561778.91,0.5,0.5,65439.73719875042,148.38279742877083
422.8141,663520.93,0.5,0.5,9287.135132528212,29.19500008693295
376.1731,371487.48,0.5,0.5,1057.8359437963923,8.671236113551753
252.0217,542515.34,0.5,0.5,-17702.83971946478,-51.479595287637586
340.9856,478084.41,0.5,0.5,-4680.684361819389,-7.367916603277393
424.6718,828474.03,0.5,0.5,9635.065690120055,29.970953814586313
468.7768,298199.46,0.5,0.5,44763.67062452751,114.53867110839373
296.6666,574656.81,0.5,0.5,-11403.757456067184,-28.499950327806257
638.3621,661861.3,0.5,0.5,73115.7157384744,159.51146578749265
588.9454,666601.5,0.5,0.5,64025.85804989073,144.63892415157727
409.0734,729739.0,0.5,0.5,6794.804402121393,23.18467208263447
439.2893,617492.23,0.5,0.5,12366.080755490322,36.35053839974013
560.7824,321974.74,0.5,0.5,59551.41307497788,142.67058957234667
648.8856,198722.79,0.5,0.5,75573.6376566336,173.1200225353429
479.3881,402173.25,0.5,0.5,46149.103310996936,115.1111618061734
648.6793,34685.16,0.5,0.5,75695.76192918593,187.74876889256527
500.4718,607183.18,0.5,0.5,49042.723864932355,117.8379446027112
432.4963,732021.68,0.5,0.5,11087.15201914617,33.3853737884599
443.1764,564809.67,0.5,0.5,40231.694030987615,99.697070111531
302.7073,35732.99,0.5,0.5,-10551.874553927048,-25.480768770715567
442.1247,758402.25,0.5,0.5,12909.601780315623,37.54564156454889
478.2246,171402.72,0.5,0.5,46458.77400438011,122.55759542760899
329.2093,56039.9,0.5,0.5,-6547.1071942295175,-12.808964571570666
367.1271,868176.49,0.5,0.5,-428.0548048925911,4.529698459146584
318.2068,384219.99,0.5,0.5,-8211.73874683449,-18.053945013974506
503.8913,180386.64,0.5,0.5,50403.59889138705,130.17676339117375
433.1397,659285.38,0.5,0.5,11205.736104737643,33.67914722653624
590.7323,737460.36,0.5,0.5,64254.031953362464,144.23058594658346
426.5482,281777.26,0.5,0.5,38679.19741047671,101.38947086415796
504.8584,613726.8,0.5,0.5,49739.61702236743,119.14247095549075
450.2986,387842.93,0.5,0.5,41794.91467344854,106.02455238881771
656.9994,413153.17,0.5,0.5,76901.34436528022,169.16202553464916
616.9582,39791.35,0.5,0.5,69824.63236592516,177.33094960227294
353.2394,799064.66,0.5,0.5,-2704.278069911614,-1.769923718196556
506.2075,749153.83,0.5,0.5,49683.60270433068,117.52214173557434
445.8804,485033.72,0.5,0.5,40873.26844871113,102.26834016948453
342.5497,509378.2,0.5,0.5,-4431.360108741241,-6.6478537581203065
326.5614,95670.12,0.5,0.5,-6953.297057431799,-14.060055100534644
487.877,94211.89,0.5,0.5,48076.80929513374,130.79057464514327
272.5768,413846.12,0.5,0.5,-14863.524751803057,-40.6050736810117
229.1235,531349.34,0.5,0.5,-20798.345860438105,-64.3500917483277
346.9718,559432.64,0.5,0.5,-3724.9203012692997,-4.613812792107993
544.9802,526112.21,0.5,0.5,56553.24461539975,133.32363691673424
628.3304,818333.03,0.5,0.5,71060.47138082507,154.57897479993042
641.1143,807425.49,0.5,0.5,73479.55899142478,158.49651112306128
305.9972,818822.3,0.5,0.5,-10015.073142065616,-23.97095962086114
369.7499,868665.22,0.5,0.5,7.684810816982278,5.712224253939826
293.7759,619732.13,0.5,0.5,-11821.827058169743,-29.93098943726407
270.0128,61308.3,0.5,0.5,-15246.697505082073,-41.893879394216384
649.4763,221040.82,0.5,0.5,75663.00889773574,172.3826870473623
292.597,872577.9,0.5,0.5,-11976.468265647423,-30.542452973621405
285.9557,559025.39,0.5,0.5,-12954.677486684594,-33.81897501201549
499.0604,532856.66,0.5,0.5,48967.496685815815,118.68940540771472
368.437,24304.24,0.5,0.5,32061.86645854613,104.51657594793507
403.885,498651.61,0.5,0.5,5859.58435637355,20.948024027472137
292.3758,267359.29,0.5,0.5,-12047.941758000285,-30.58536851828168
605.4276,391691.74,0.5,0.5,67335.40975435502,154.4370774521358
296.2093,727774.83,0.5,0.5,-11460.573848959893,-28.74212309951711
357.5163,684265.53,0.5,0.5,-2017.106476872406,0.19763509714040745
414.5805,678895.56,0.5,0.5,7784.850453398246,25.60275664989263
353.5761,177296.28,0.5,0.5,-2685.3194470382427,-1.531968803537464
406.7804,212081.66,0.5,0.5,36198.49617046091,97.655100829858
350.5654,121129.39,0.5,0.5,-3174.2144793683365,-2.9039069362528647
452.3307,638497.78,0.5,0.5,41397.6171188168,101.40767718277206
289.8657,287499.97,0.5,0.5,-12409.779301159457,-31.835011510900447
602.0895,276060.07,0.5,0.5,66869.288263979,156.50763180600404
366.7018,655534.1,0.5,0.5,-510.0761646667774,4.3679266909004655
267.3732,798246.2,0.5,0.5,-15566.292545252334,-43.34338795080496
605.5181,44069.53,0.5,0.5,67752.88497265494,173.0947520317611
435.0469,638782.9,0.5,0.5,11563.839317011722,34.50966847098097
610.315,845643.42,0.5,0.5,67683.24510891274,148.8673540713537
529.7984,597003.07,0.5,0.5,53879.891312426495,127.35929549595548
284.9995,248102.21,0.5,0.5,-13112.16034060608,-34.26540825122914
330.2646,658240.66,0.5,0.5,-6347.070125879735,-12.388080696373843
447.6504,84294.27,0.5,0.5,42167.8878225391,119.0688407913309
560.0542,30993.8,0.5,0.5,59826.67218518956,162.41049157592747
445.8752,756380.31,0.5,0.5,13628.738219354316,39.16586652481644
530.0483,835068.93,0.5,0.5,53498.65489957512,124.06998182847369
272.8501,120614.99,0.5,0.5,-14844.631062505045,-40.43337509747147
498.8771,582412.55,0.5,0.5,48836.816044092535,117.74416811906116
342.7615,540117.6,0.5,0.5,-4395.982171218762,-6.553877391963134
219.8283,363374.9,0.5,0.5,-22050.368244621463,-69.86066422812533
272.4972,768796.75,0.5,0.5,-14851.06210172868,-40.683345529010246
419.3105,730966.89,0.5,0.5,8647.191608844721,27.656674719046023
226.9559,658749.15,0.5,0.5,-21079.4515328878,-65.63350235492832
369.6369,809307.52,0.5,0.5,-14.32183407673686,5.669872755674966
352.5394,797927.93,0.5,0.5,-2817.351299164782,-2.0900078450963613
194.5811,102457.41,0.5,0.5,-25421.909737957038,-86.0403173826909
531.1169,148168.74,0.5,0.5,54832.254589265474,140.34015434877065
352.0406,256113.46,0.5,0.5,-2928.8465004673217,-2.2456168172305384
620.6364,500143.83,0.5,0.5,69989.54537466337,156.7936794313649
662.8228,361989.39,0.5,0.5,78063.8270831477,172.00115073286878
458.8054,514412.35,0.5,0.5,42733.13456406362,105.93836648011697
548.3236,215585.61,0.5,0.5,57587.13142751708,142.38245947890448
290.217,326341.75,0.5,0.5,-12356.510186641272,-31.66435576130207
405.8126,176330.51,0.5,0.5,36187.13493549309,99.08266172201152
260.9987,811419.24,0.5,0.5,-16450.503900790936,-46.69512366441011
